osm_combination,location_ids
N792010169-place:village,14648
R307584-boundary:administrative,"12624,12625,12626,12627"
R6663864-boundary:administrative,"13826,13827,13828"
W543423202-landuse:commercial,14602
R3372351-boundary:postal_code,13639
R40789-boundary:administrative,11304
N27553734-place:suburb,14071
R119595-boundary:administrative,12033
R305092-boundary:administrative,"12604,12605,12606,12607"
N32675806-place:city,"14145,14146,14147,14148,14149"
N1934239893-place:city,14761
N3050597953-amenity:pub,14807
R936920-boundary:administrative,12933
R396463-boundary:administrative,12734
N29621529-place:hamlet,14115
R40454-boundary:administrative,11302
R54417-boundary:administrative,11383
R7392435-boundary:administrative,13839
R2657473-boundary:administrative,13493
W41454792-amenity:community_centre,14171
R10492533-boundary:administrative,14207
N1880441437-place:city,"14753,14754,14755"
R4718247-boundary:administrative,13765
W49802763-landuse:commercial,14181
R2108121-boundary:administrative,"13395,13396,13397,13398,13399,13400,13401"
R112298-boundary:administrative,"12004,12005,12006"
N317275078-place:suburb,"14512,14513,14514"
N273112125-place:village,14450
N68674508-place:city,14203
R2297418-boundary:administrative,13443
R1802550-boundary:administrative,13298
W142431393-building:office,14254
N26292942-place:city,14051
R1398884-boundary:administrative,"13178,13179"
R182347-boundary:administrative,12255
R2408838-boundary:administrative,13474
N358022275-tourism:museum,14538
N1125912204-place:village,14684
R4586286-boundary:administrative,13762
R3253929-boundary:political,13605
R453372-boundary:administrative,"12835,12836,12837,12838,12839"
R47796-boundary:administrative,"11317,11318,11319,11320,11321"
R62611-boundary:administrative,11723
W12711018-highway:residential,14932
R11049243-boundary:administrative,"13931,13932"
R2427634-boundary:administrative,13481
R62778-boundary:administrative,11822
N5722967600-place:town,14867
W145813977-amenity:townhall,14257
R3709353-boundary:administrative,"13683,13684"
R51701-boundary:administrative,"11352,11353,11354"
N2311720702-place:village,14781
N2443571734-amenity:vending_machine,14788
N6211766617-place:town,14872
W474236429-building:yes,14568
R2130352-place:island,"13404,13405,13406"
R153547-boundary:administrative,12107
R88210-boundary:administrative,"11952,11951"
N245589078-place:city,"14374,14375,14376"
R396731-boundary:administrative,12745
R127309-boundary:administrative,12048
R225483-boundary:administrative,12474
N103035982-place:village,14226
R1250541-boundary:postal_code,"13130,13131"
W229132655-place:town,14328
W25730724-highway:residential,14040
N34844268-place:town,14158
N501508527-place:village,14582
N2667308200-place:town,14795
R2778908-boundary:administrative,13517
R62594-boundary:administrative,11714
R1600842-boundary:administrative,13246
R2561177-boundary:administrative,13487
N27529290-place:town,14070
N33622904-place:city,14153
R2779378-boundary:administrative,13525
R7114900-boundary:administrative,13832
R1178612-boundary:postal_code,13086
R225490-boundary:administrative,"12476,12477"
R59195-boundary:administrative,11433
R8896976-place:city,"13868,13869,13870,13871,13872,13873"
R298285-boundary:administrative,"12563,12564"
N321521438-place:city,14517
R62372-boundary:administrative,"11495,11496"
R8813574-boundary:administrative,13867
R165476-boundary:administrative,"12171,12172,12173"
W23226931-leisure:park,14026
R1433619-boundary:administrative,13206
W27883772-historic:castle,14099
R5703696-boundary:administrative,14966
N240126753-place:city,14364
R4047593-boundary:administrative,13734
R62385-boundary:administrative,11503
W123416534-building:yes,14242
R958109-boundary:administrative,12944
N27163131-place:village,14065
N20833623-place:city,"14004,14005"
R1984022-boundary:administrative,13374
R1504662-boundary:administrative,13230
R3336031-boundary:administrative,13618
R80357-boundary:administrative,11914
R225489-boundary:administrative,12475
R3586169-boundary:administrative,13664
